,study,age_mean,age_sd,num_female,num_male,num_other
0,preference,38.721311475409834,11.015339528041467,22,39,0
1,walkability,36.728813559322035,10.168969887264337,19,39,1
2,imageability,40.10526315789474,12.76110750137519,26,31,0
3,complexity,37.46551724137931,12.776370070716803,29,29,0
4,enclosure,36.59016393442623,9.675358820530166,17,43,1
5,human_scale,39.96666666666667,11.086664254580155,20,39,1
6,transparency,37.875,8.598229204583083,19,37,0
7,order,39.05084745762712,10.756591770203627,18,41,0
8,NEW_human_scale,40.74545454545454,10.774142883875028,16,39,0
9,New_order,38.42622950819672,11.3614245239369,23,38,0
