,const,Hue,Sat,Lum,sdHue,sdSat,sdBright,Entropy,StraightED ,NonStraightED
0,1.0,1.449011046,0.159335476,0.616732971,1.931827673,0.08773385,0.268460138,7.633971496,0.042888,0.057226
1,1.0,0.997311166,0.320123328,0.540615107,1.099389133,0.222381571,0.205562802,7.560053957,0.082817,0.043203
2,1.0,-2.417348924,0.137197077,0.449900786,1.476389889,0.129007017,0.169042756,7.346350011,0.1325,0.017248
3,1.0,0.269994364,0.24930593,0.587992622,1.492315838,0.23856338,0.257317894,7.499752397,0.10096,0.035377
4,1.0,0.712664992,0.171798224,0.646293224,2.331844645,0.157754139,0.218314967,7.363646837,0.065085,0.038066
5,1.0,0.773912329,0.316281811,0.501803871,0.920235534,0.234822655,0.205128354,7.58342212,0.083017,0.072699
6,1.0,0.297302129,0.270029074,0.597068449,1.734460609,0.208074803,0.171498299,7.060397734,0.056867,0.064268
7,1.0,-0.150243524,0.17022116,0.493033854,2.082281254,0.142181104,0.195710579,7.399180072,0.056092,0.056626
8,1.0,-2.581409751,0.195061017,0.576139387,1.406447965,0.196766645,0.245291282,7.746944631,0.087244,0.019431
9,1.0,-2.8282693,0.137212913,0.50623463,0.88510404,0.104716576,0.218059028,7.066818503,0.082294,0.015831
10,1.0,2.143476119,0.160384289,0.565639668,1.817446783,0.18168241,0.192087309,7.358081479,0.055773,0.048164
11,1.0,-2.519683879,0.166019697,0.536729856,1.079904811,0.131076605,0.277510312,7.282620618,0.094469,0.012119
12,1.0,-2.48374496,0.121537968,0.575715214,1.343496539,0.113289636,0.202311663,7.323857119,0.07995,0.050986
13,1.0,1.904296909,0.142559348,0.472021701,1.775395102,0.151638268,0.173489987,7.441070512,0.079944,0.057647
14,1.0,-2.165428833,0.100541193,0.558617277,1.915424078,0.109726826,0.170966804,7.010621192,0.075858,0.039887
15,1.0,0.661248371,0.098771373,0.559142821,2.306480568,0.122669386,0.175247683,7.133878607,0.065454,0.029243
16,1.0,0.665964941,0.177102658,0.581334278,1.574729042,0.158561911,0.187159695,7.261793558,0.075092,0.032786
17,1.0,0.23288209,0.227660453,0.569442045,2.079280419,0.180181108,0.211981149,7.635437548,0.06295,0.062317
18,1.0,-0.125209087,0.176801546,0.730216056,2.438752331,0.191340728,0.224013975,7.405999189,0.060294,0.041257
19,1.0,1.339857125,0.272679314,0.571169718,1.730564242,0.221233119,0.251595516,7.756409994,0.050885,0.083616
20,1.0,1.648467295,0.188671607,0.593287148,1.980381844,0.096017832,0.168076554,7.176992648,0.073177,0.037753
21,1.0,2.11475329,0.190734517,0.547207784,1.776720083,0.141774138,0.239135804,7.685395258,0.064896,0.041063
22,1.0,1.507849152,0.212324716,0.550877502,1.619510389,0.124260171,0.183174535,7.316309632,0.067696,0.048807
23,1.0,1.680457995,0.196002307,0.540161943,1.454597424,0.134258081,0.277071408,7.460506931,0.056731,0.052019
24,1.0,-0.551007815,0.192271876,0.648218227,2.35959218,0.160205334,0.257768449,7.546449147,0.084094,0.031996
25,1.0,0.564371545,0.333705449,0.586816828,0.881137233,0.192722608,0.198667647,7.564816836,0.12115,0.028016
26,1.0,-1.218506992,0.208170297,0.596073312,2.17766739,0.168226269,0.270092676,7.610305797,0.072858,0.036409
27,1.0,0.844961581,0.285366591,0.580302466,1.257150464,0.233382078,0.219835386,7.7374453,0.091298,0.043323
28,1.0,0.719310338,0.249505994,0.490630604,0.992392624,0.172024264,0.225606134,7.725614485,0.068165,0.085005
29,1.0,-2.979270292,0.196121585,0.440930683,1.697155165,0.133873223,0.175692552,6.942217754,0.051248,0.07499
30,1.0,0.463738321,0.23917669,0.519085299,1.197303942,0.172860753,0.222068404,7.727764743,0.086019,0.075423
31,1.0,-2.605630914,0.202546324,0.532812309,1.457203633,0.165186498,0.221076255,7.447364377,0.071252,0.056546
32,1.0,1.470498581,0.150720466,0.617402791,1.62307846,0.136658422,0.230611696,7.506447033,0.1167,0.0031813
33,1.0,0.355623543,0.147899057,0.55240459,1.263537109,0.142479548,0.251138885,7.410489443,0.10877,0.011895
34,1.0,1.335518332,0.130982426,0.593357601,1.585718372,0.154040832,0.252330993,7.593369527,0.126,0.012418
35,1.0,0.842331088,0.168571892,0.420943372,0.928764755,0.159450697,0.175197258,7.366437152,0.12588,0.0051073
36,1.0,0.687843293,0.225482048,0.520127477,1.210765016,0.160034831,0.195008617,7.304409995,0.086698,0.036616
37,1.0,1.039033926,0.296507446,0.406634268,0.72518398,0.18505382,0.175167125,7.353977463,0.065215,0.073204
38,1.0,-3.040854075,0.220229733,0.531132238,1.402933805,0.125304603,0.214709023,7.495191885,0.066769,0.043435
39,1.0,1.672938623,0.257762391,0.570639055,1.675980692,0.172741661,0.222549501,7.537772138,0.06689,0.07033
40,1.0,0.8775373,0.258798726,0.586226601,0.537075436,0.1675601,0.235377568,7.668623109,0.089546,0.064356
41,1.0,1.270874331,0.42167531,0.483626953,0.739678305,0.286102802,0.221813749,7.518666969,0.068483,0.088311
42,1.0,2.450985115,0.171244767,0.491849839,1.598365895,0.110814627,0.182045822,7.152546777,0.083492,0.039824
43,1.0,1.878481107,0.258507111,0.510298343,1.411446978,0.216930599,0.233444629,7.360157232,0.070646,0.052743
44,1.0,0.410918172,0.282018065,0.45628785,1.002814698,0.19335949,0.214833047,7.406238939,0.070729,0.081776
45,1.0,0.652814586,0.243400776,0.426774344,0.836056144,0.198248772,0.16473815,7.260590036,0.067085,0.05973
46,1.0,2.586135656,0.222005307,0.583842256,1.475183748,0.150038149,0.233257944,7.672521626,0.066694,0.047587
47,1.0,2.46073337,0.169565017,0.40783955,1.6280257,0.117234726,0.162801079,6.903588379,0.081633,0.021969
48,1.0,0.791068319,0.208668468,0.399514106,1.057886163,0.125156754,0.17283517,7.191430988,0.064092,0.062303
49,1.0,0.4892086,0.21365329,0.473536318,0.825977368,0.143302113,0.188678544,7.526353362,0.087887,0.050466
50,1.0,0.477683992,0.127609009,0.474814198,0.618099203,0.090761144,0.129107352,6.89608028,0.10806,0.0048563
51,1.0,0.439028464,0.150167755,0.424775046,0.620855022,0.116806899,0.155620937,7.244261378,0.098473,0.020348
52,1.0,0.668894804,0.211345171,0.476901042,1.947431153,0.168122514,0.203883702,7.275352935,0.062792,0.063252
53,1.0,0.549813992,0.249128313,0.608101039,0.750513212,0.225696776,0.248186988,7.675247146,0.12517,0.023404
54,1.0,-2.960385907,0.235283133,0.460616409,0.886246287,0.134852721,0.228549779,7.35043365,0.062652,0.092053
55,1.0,-2.794075565,0.334163686,0.566055951,0.748096095,0.160569207,0.242526712,7.4838197,0.086135,0.031983
56,1.0,1.808357559,0.275369967,0.40547909,1.239792296,0.188149753,0.165941031,7.126416376,0.069756,0.068167
57,1.0,1.646083059,0.238332211,0.4830499,1.279495718,0.17027486,0.215402588,7.506354483,0.055421,0.098434
58,1.0,2.224638869,0.299658697,0.382032335,1.379086756,0.18371485,0.185292694,7.263847824,0.075352,0.066365
59,1.0,1.23370531,0.249717703,0.592673828,1.515329299,0.146821758,0.232091012,7.447539974,0.058331,0.073726
60,1.0,0.642032491,0.281263265,0.489904782,0.853491871,0.228711792,0.235157067,7.61879514,0.061715,0.064405
61,1.0,0.57964113,0.308093306,0.478449206,1.021489009,0.254751282,0.234956838,7.505570992,0.058879,0.071251
62,1.0,1.253474066,0.333743783,0.461769774,0.731521255,0.212544986,0.212944635,7.567447212,0.12097,0.052048
63,1.0,1.202477453,0.296849708,0.519480762,0.803190978,0.187939888,0.248683166,7.740901836,0.10454,0.080823
64,1.0,0.884369296,0.144160248,0.639193985,2.367615116,0.116751662,0.197808412,7.537058532,0.081319,0.02755
65,1.0,-2.072415568,0.128434887,0.499521089,1.481131395,0.12364806,0.202293901,7.264528831,0.086475,0.018649
66,1.0,1.103557982,0.24602664,0.623201529,2.724843292,0.204286992,0.178926863,7.226906156,0.068923,0.032059
67,1.0,1.592779569,0.201051402,0.623119447,2.061388703,0.162066704,0.237069498,7.552543528,0.073919,0.03973
68,1.0,1.108402048,0.174122612,0.343077857,1.132496552,0.147250399,0.177826084,7.076851999,0.076988,0.044619
69,1.0,0.860224877,0.245046804,0.419430785,0.756501218,0.185657175,0.206747921,7.546453056,0.088377,0.045177
70,1.0,1.324021511,0.117108245,0.499617188,1.052635038,0.103601499,0.226148623,7.384683719,0.069406,0.048488
71,1.0,0.924925817,0.242531941,0.410986813,0.777996807,0.14833725,0.148582241,7.138165355,0.080019,0.064252
72,1.0,0.626056292,0.352410704,0.457886629,0.280435526,0.194766445,0.139851931,6.915183975,0.094183,0.052996
73,1.0,0.697408295,0.203272928,0.590801024,0.697313398,0.19067819,0.23626213,7.502596465,0.10131,0.019041
74,1.0,1.17179234,0.187110098,0.58326491,1.717808735,0.167237846,0.239536994,7.458507173,0.089356,0.028889
75,1.0,1.299332014,0.184487128,0.556649829,1.219320393,0.123798169,0.213688833,7.525649211,0.088815,0.02163
76,1.0,1.203533526,0.287197905,0.606711882,2.705385966,0.215723006,0.233476421,7.657050452,0.066283,0.039363
77,1.0,1.509459362,0.280437843,0.461508157,1.453330057,0.181582251,0.227926411,7.431355576,0.066221,0.078213
78,1.0,2.119655667,0.13633053,0.523945223,1.573259471,0.195298685,0.173653068,7.250153321,0.041223,0.058705
79,1.0,0.972992393,0.157187667,0.461373596,1.180095178,0.164353996,0.176708452,7.162122374,0.10532,0.0
80,1.0,0.675927207,0.114752499,0.606574168,0.945450345,0.122550344,0.231053629,7.140453808,0.06066,0.052326
81,1.0,1.051242615,0.164938905,0.56101311,1.106700285,0.132380791,0.190391514,7.484869486,0.072012,0.039874
82,1.0,0.791451702,0.209357499,0.522816993,0.572502363,0.128949315,0.14611115,7.118458525,0.098304,0.022247
83,1.0,1.196767927,0.137811346,0.507944202,1.159209966,0.129254685,0.188612533,7.397784463,0.058369,0.030983
84,1.0,1.178076096,0.21057356,0.500108673,1.340645774,0.178499537,0.201905571,7.580844134,0.072137,0.043816
85,1.0,1.035852779,0.261532105,0.382197661,0.878185003,0.20071745,0.152334125,7.157647274,0.073908,0.062639
86,1.0,0.75513546,0.195490141,0.527198159,1.14356135,0.141145111,0.1821568,7.392439298,0.10113,0.009301
87,1.0,1.464551902,0.196818896,0.370542599,1.350672106,0.157509529,0.150805568,7.185448876,0.083577,0.050883
88,1.0,0.486467433,0.236567542,0.424982192,0.7367511,0.154250529,0.163223033,7.342112788,0.090933,0.045865
89,1.0,0.476513672,0.271788854,0.475623455,1.009834402,0.247965314,0.209886364,7.325104621,0.066306,0.058469
90,1.0,1.099781963,0.221538448,0.50282847,1.563845536,0.137044847,0.201363703,7.413434853,0.065371,0.044805
91,1.0,0.609178268,0.234693182,0.424350528,1.11558385,0.188231459,0.1859112,7.380666436,0.087171,0.040751
92,1.0,0.867822141,0.353633911,0.442689083,0.549672514,0.219783004,0.159948444,7.164985799,0.068704,0.096725
93,1.0,0.457900774,0.144690669,0.546867213,1.705848725,0.1448301,0.223940376,7.577179362,0.091621,0.035527
94,1.0,1.069098981,0.336430146,0.419327972,0.848903233,0.1924196,0.21334441,7.313008528,0.076252,0.06942
95,1.0,1.224008812,0.244793024,0.547740362,1.455179728,0.160710326,0.258125892,7.35570252,0.058575,0.065571
96,1.0,1.137863338,0.212975585,0.573897186,1.616833066,0.12644267,0.219285748,7.400105567,0.049881,0.061142
97,1.0,0.826337587,0.199426276,0.40986332,1.237714284,0.146075683,0.147275726,7.144028331,0.064537,0.058072
98,1.0,0.851987745,0.379972837,0.416216414,0.682263466,0.2660653,0.145356572,6.931983169,0.058152,0.083185
99,1.0,0.934974559,0.229438307,0.459571015,0.735098837,0.181730098,0.188980962,7.133811781,0.052856,0.075826
100,1.0,-1.588324656,0.248663634,0.563008004,1.865069333,0.190556802,0.223380374,7.444668891,0.079025,0.030925
101,1.0,0.766881426,0.303490951,0.531864775,1.309830745,0.231265472,0.229054683,7.536827716,0.066019,0.065907
